Order_Date,Customer_ID,Order_ID,Quantity,City,District,Catalog_Number,Hebrew_Description,English_Description,Added_Date,Family_Item_ID,Family_Item_Name,Sales_Price_No_VAT,Sales_Price_With_VAT,Cost_Price,Cost_Import_USD,Cost_Production_USD,Size,Color_ID,Color_Name
9/15/2022,100190,SO22000993,1,Tel Aviv-Jaffa,תל אביב,NHB1210-22-6,שמיכת טטרה מידה 200X220 פיצ',,3/1/2022,טטרה,שמיכת טטרה,196,229,12,12,0,200/220,6,Cartouch
9/15/2022,100190,SO22000993,1,Bnei Brak,תל אביב,NLW-7090S2,WHITE S Summer breeze shirt&shorts women set,"Summer breeze shirt&shorts women set,,S",11/11/2021,7000,Loungewear,170,199,7,0,0,S,2,PAGEANT BLUE
9/15/2022,100190,SO22000993,1,Rishon LeZion, מרכז,NLW-7090S2,WHITE S Summer breeze shirt&shorts women set,"Summer breeze shirt&shorts women set,,S",11/11/2021,7000,Loungewear,170,199,7,0,0,S,2,PAGEANT BLUE
9/15/2022,100190,SO22000993,1,Tel Aviv-Jaffa,תל אביב,NLW-7090S2,WHITE S Summer breeze shirt&shorts women set,"Summer breeze shirt&shorts women set,,S",11/11/2021,7000,Loungewear,170,199,7,0,0,S,2,PAGEANT BLUE
9/15/2022,100190,SO22000993,1,Bnei Brak,תל אביב,NLW-7090S3,NAVY S Summer breeze shirt&shorts women set,"Summer breeze shirt&shorts women set,,S",11/11/2021,7000,Loungewear,170,199,7,0,0,S,3,CURDS & WHEY
9/15/2022,100190,SO22000993,1,Rishon LeZion, מרכז,NLW-7090S3,NAVY S Summer breeze shirt&shorts women set,"Summer breeze shirt&shorts women set,,S",11/11/2021,7000,Loungewear,170,199,7,0,0,S,3,CURDS & WHEY
9/15/2022,100190,SO22000993,1,Tel Aviv-Jaffa,תל אביב,NLW-7090S3,NAVY S Summer breeze shirt&shorts women set,"Summer breeze shirt&shorts women set,,S",11/11/2021,7000,Loungewear,170,199,7,0,0,S,3,CURDS & WHEY
9/15/2022,100597,SO22000965,2,Petah Tikva, מרכז,NHB5240-9-3,"סט 100% כותנה סטן 220 90 סמ NAUTICA STRIPEN""",100% CTS. 220 200x220+90x200+2x50x70 NAUTICA STR,5/31/2021,220S,סאטן 220,401,469,0,0,0,90/200,3,CURDS & WHEY
9/15/2022,100597,SO22000965,1,Petah Tikva, מרכז,NHBM3500-1-3,שטיח אמבטיה פס 100% כותנה 50/80 1000 גר' נייבי,,3/1/2022,אמבטיה,שטיחוני אמבטיה,85,99,4,4,0,50/80,3,CURDS & WHEY
9/15/2022,100597,SO22000965,1,Petah Tikva, מרכז,NHRU403-M-3,חלוק אמבטיה כחול 100% כותנה אקווה פיברו M,"Bath robe 100% cotton Aqua fibro  BLUE SIZE M""",5/31/2021,חלוקים,חלוקי אמבטיה אקווה פיברו,427,499,21,0,0,M,3,CURDS & WHEY
9/15/2022,100597,SO22000965,1,Petah Tikva, מרכז,NHT3004-15-36,מגבת פסים 150X90 סנד אדום  600 גר',STRIPE TOWEL 150X90 RED 600 GSM,12/15/2021,מגבות,מגבות אקווה פיברו,213,249,10,0,0,150/90,36,Samba
